customer_id,age,income,nationality,residence_country,is_pep,kyc_status,risk_level
CUST_0000000,34,12142.75,US,US,False,verified,low
CUST_0000001,51,24896.21,CN,CN,False,verified,low
CUST_0000002,20,20058.07,RU,RU,False,verified,medium
CUST_0000003,77,38980.75,AE,AE,False,verified,medium
CUST_0000004,65,22638.31,AE,AE,False,verified,medium
CUST_0000005,28,27234.65,BR,BR,False,verified,low
CUST_0000006,62,27685.85,US,US,False,pending,medium
CUST_0000007,30,35281.04,RU,RU,False,verified,medium
CUST_0000008,47,26446.7,FR,FR,False,verified,low
CUST_0000009,52,19205.05,US,US,False,verified,low
CUST_0000010,80,38233.21,NG,NG,False,verified,medium
CUST_0000011,40,68905.41,TN,TN,False,verified,low
CUST_0000012,18,39225.4,CN,CN,False,verified,low
CUST_0000013,46,25187.62,CN,CN,False,verified,low
CUST_0000014,80,33728.96,CN,CN,False,verified,low
CUST_0000015,71,10610.72,CN,CN,False,verified,low
CUST_0000016,21,33401.58,NG,NG,False,verified,medium
CUST_0000017,21,28560.71,GB,GB,False,verified,low
CUST_0000018,68,20742.16,BR,BR,False,verified,low
CUST_0000019,66,23126.65,AE,AE,False,verified,medium
CUST_0000020,55,28391.9,NG,NG,False,verified,medium
CUST_0000021,23,65872.41,DE,DE,False,verified,low
CUST_0000022,36,69929.04,GB,GB,False,verified,low
CUST_0000023,74,20808.67,TN,TN,False,verified,low
CUST_0000024,27,26612.96,CN,CN,False,verified,low
CUST_0000025,31,27023.06,RU,RU,False,verified,medium
CUST_0000026,48,59025.65,AE,AE,False,verified,medium
CUST_0000027,67,39628.5,BR,BR,False,verified,low
CUST_0000028,73,38394.67,NG,NG,False,verified,medium
CUST_0000029,57,50099.06,AE,AE,False,verified,medium
CUST_0000030,50,25391.05,AE,AE,False,verified,medium
CUST_0000031,43,82316.92,FR,FR,False,verified,low
CUST_0000032,20,36277.51,US,US,False,verified,low
CUST_0000033,35,21730.08,NG,NG,False,verified,medium
CUST_0000034,32,31641.22,BR,BR,False,verified,low
CUST_0000035,21,76050.81,US,US,False,pending,medium
CUST_0000036,67,28139.08,BR,BR,False,verified,low
CUST_0000037,41,64198.47,BR,BR,False,verified,low
CUST_0000038,52,24954.08,FR,FR,False,verified,low
CUST_0000039,31,22939.18,RU,RU,False,verified,medium
CUST_0000040,57,53947.06,GB,GB,False,pending,medium
CUST_0000041,27,21495.88,CN,CN,False,verified,low
CUST_0000042,63,59487.66,CN,CN,False,verified,low
CUST_0000043,67,44845.37,DE,DE,False,pending,medium
CUST_0000044,38,21500.76,US,US,False,verified,low
CUST_0000045,32,34791.71,TN,TN,False,verified,low
CUST_0000046,70,26127.28,AE,AE,False,verified,medium
CUST_0000047,32,44774.14,BR,BR,False,verified,low
CUST_0000048,29,112721.89,RU,RU,False,verified,medium
CUST_0000049,40,29073.35,CN,CN,False,verified,low
CUST_0000050,82,50024.38,CN,CN,False,verified,low
CUST_0000051,48,36851.97,GB,GB,False,verified,low
CUST_0000052,35,36843.5,DE,DE,False,verified,low
CUST_0000053,52,32888.45,AE,AE,False,verified,medium
CUST_0000054,41,21710.46,AE,AE,False,verified,medium
CUST_0000055,62,44403.96,US,US,False,verified,low
CUST_0000056,47,30538.85,NG,NG,False,verified,medium
CUST_0000057,57,21101.93,GB,GB,False,verified,low
CUST_0000058,47,66736.28,CN,CN,False,verified,low
CUST_0000059,50,38538.22,RU,RU,False,verified,medium
CUST_0000060,47,31670.49,TN,TN,False,verified,low
CUST_0000061,44,81148.33,CN,CN,False,verified,low
CUST_0000062,82,12068.46,DE,DE,False,verified,low
CUST_0000063,35,77939.84,TN,TN,False,verified,low
CUST_0000064,71,21415.86,AE,AE,False,verified,medium
CUST_0000065,65,41229.92,DE,DE,False,verified,low
CUST_0000066,53,25518.57,TN,TN,False,verified,low
CUST_0000067,39,20872.74,DE,DE,False,verified,low
CUST_0000068,50,79884.08,US,US,False,verified,low
CUST_0000069,74,110606.04,AE,AE,False,pending,high
CUST_0000070,30,31801.37,CN,CN,False,verified,low
CUST_0000071,57,44412.88,GB,GB,False,pending,medium
CUST_0000072,69,37578.78,AE,AE,False,verified,medium
CUST_0000073,60,102570.34,GB,GB,False,verified,low
CUST_0000074,27,10220.08,RU,RU,False,verified,medium
CUST_0000075,52,45536.71,AE,AE,False,failed,high
CUST_0000076,30,23475.77,DE,DE,False,verified,low
